originality,DSI_ukwac,DSI_subtitle,DSI_baroni,DSI_glove,DSI_TASA,LSE,dat
1.4,0.9146375923,0.9457048927,0.9279811233,0.9517726684,1.0035599441,0.953,86.9377187941
0.7,0.837183083,0.9254002242,0.9117872294,0.83024662,0.9892673716,0.804,75.4166514391
0.4,0.8158792792,0.9212576934,0.895240204,0.8428210433,0.9978485254,0.783,78.9925823504
0,0.863088069,0.9021067426,0.9074254255,0.8801616596,0.9942968978,0.851,71.2486897196
0.1,0.8081794495,0.8772049638,0.8559730811,0.821897961,0.9471120039,0.647,75.6454748767
1.1,0.8002230893,0.8282290673,0.7221483998,0.7864898358,0.9167808044,0.846,64.7797416541
1.4,0.8660697758,0.9353684814,0.914798626,0.8930599236,1.0013451967,0.881,78.7573351392
1,0.9393615104,0.9181053324,0.9631666109,0.9777987266,0.9966685894,0.945,91.610653337
0.7,0.8660959876,0.9117069642,0.8994521897,0.8882112163,0.9878167916,0.92,78.637960429
0.1,0.8722948875,0.9270906492,0.9255171057,0.9203148785,1.0075765084,0.879,74.9003776127
0.6,0.8636365351,0.8922160226,0.9131401967,0.9547658534,0.9801772727,0.917,85.7683738051
2.5,0.9017714408,0.9252153412,0.9204594632,0.9323936132,0.9818278779,0.913,86.1735137845
1,0.916730889,0.9228055399,0.9236302274,0.967863699,0.9696151811,0.872,85.4263563729
0.8,0.8799118213,0.9157515102,0.9150696616,0.9372747285,0.9990976996,0.936,82.4419495561
0.6,0.8514643288,0.9352257452,0.9132213952,0.8424788364,0.9944106351,0.845,75.7516507059
2.4,0.8453774321,0.92035596,0.8994592156,0.8798207109,1.0109011519,0.819,76.2645755495
1.6,0.917318651,0.9154205052,0.9315424078,0.9906085272,1.0131208721,0.979,91.7938655664
2.1,0.8594444288,0.9029592488,0.8796290849,0.8904875676,1.0014503017,0.923,79.3886569816
0.8,0.7765907816,0.875239946,0.8541236953,0.8586613426,0.9327806684,0.782,73.8933958468
1.5,0.8738422058,0.9174620538,0.8943052427,0.9277979267,0.9920866576,0.868,83.6314086935
0.1,0.8205431305,0.9393031632,0.9134638048,0.8106573379,0.9884465122,0.848,75.2333195437
2.5,0.8850107305,0.868086161,0.8953471024,0.9754658654,0.9989905116,0.964,89.0091165545
0.5,0.79063663,0.890203572,0.8663822315,0.7553709426,0.9899828196,0.828,70.7760451805
