Subject#,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10
R_3koVyM7qEyE4Ypx,giraffe ,face,shoe ,trees,TV,paw,ocean,car,banana,handle
R_1PRwVSBz8uq54dj,ocean ,chair,head,flower,car,lamp,rock,money,work,gun
R_4IbEa0u5VaCjNGF,ethanol,mitosis,dress,candle,can,placemat,car,egg,laptop,card
R_yIwKYgPZNqHO5Ut,map,queen,hat,steel,tea,lips,swimming pool,glasses,book,gap
R_1rcssfbD4S8tGQa,box,computer,mooncake,cheese,poll,doll,fish,beauty,flower,cola
R_12om7o5KDQ51Wns,tree,typewriter,needle,suitcase,ball,card,nail,fan,cable,dragon
R_2SklImEAFdyRD8v,bin,branch,ball,crab,roof,rocket,ruler ,son,headphones,water
R_1hAL4rQ655FLo8L,glass,wind,face,butterfly,street lamp,iron,sea shell,nail,cash,time
R_2dSCW5JzmFfZAqE,rabbit ,computer ,sweater ,nail,lung ,wax,desk,game ,mountain,surfboard 
R_3kL2FyOx4dlNdwL,dog,sex,psychology,computer,conflict,father,flower,parade,clown,firework
R_3EGpxTN5LLLMqWk,hat ,elephant ,doctor,cushion,test tube ,library,toy car,stomach,globe,deoderant
R_siF0IejFbyHEe2Z,television,chair,pencil,skirt,mascara,calculator,door,certificate,pillow,tissue
R_1F8vpBWAwpcKYce,bottle,earphone,pen,fruit,medicine,ocean,fire,perfume,strategy,caculator
R_3CZrn6fF5NxYcKY,purple,grave,keyboard,quantum ,stork,toe,climate,ghost,fried,diet
R_2QGm7E0iK9QwQUC,book,chicken,kettle,highway,bed,cousin,jumper,nailpolish,music,tissue
R_3hxXFvAaZUCRCyF,school,flag,sand,cat,nail polish,deodorant,fork,lock,travel,ambulance
R_31zaY56c9gCqpKx,man,girl,bottle,book,study,family,photo,baby,childhood,birthday
R_VPQBGmFJkgy04nv,sun,cheese,adress,tree,glass,carbon,noise,mail,fail,water
R_3IYaDXI9zyFVgEZ,photo ,air ,bottle,cord,basketball,door,umbrella,shapes,towel,pin 
R_3HHucl2vKqmCxnN,red,tree,polar bear,car,dirt,drink bottle,bed,jacket,oven,bin
R_DzNTekoA8n75A1H,apple,road,pen,shorts,pillow,eyelid,gold,ocean,wall,music 
R_3qIEED4O8b3d7bG,hair,miso,socks,light,pitbull,daisies,tennis,clock,basement,chainsaw
R_28YXqUfFuh5n6Gw,cat,sky,bag,mop,mirror,paper,scarf,laptop,wood,bell
R_Zh11URsMrzkj6Cd,teacher,murderer,guitar,deaf,mouse,garlic,fan,mall,hamburger,dead
R_R7Xc4x9KjiOcbsJ,bus,radio,kidney,rug,desk,paint,love,sunflowers,crown,constitution
R_1NyJ4allLfeJtr6,keep,leave,fly,happened,always,flabbergasted,mysterious,bullied,disappointed,flour
R_2BrgtW92VteebD5,magic,verb,phone,hair,lights,country,lead,smile,stick,blue
R_3m8A7KptOiIg9WE,baby,hate,phone,apple,number,pen,empathy,cow,carpet ,polish
R_1PdwYBAHoeVmAKc,tissue,lighting,house,ghost,beer,grave,flower,doctor,court,white
R_2flDW83WFlCPG0T,love ,tissue,flowers ,cream ,light,salt ,dog ,book,jacket ,basketball 
R_3fGYKKGiVuvtVIP,computer,world,toad ,book ,ring ,plane ,house ,tree,slide,music 
R_2fxkdeTbFVyyGMd,coconut,dog,comb,mask,candies,watch,calculator,pencil,solar panel,seasoning
R_tFG3m5AKKc70W4h,apple,apartment ,bones ,coffee,cat,bottle ,calculator,pool,gate,doctors
R_9pn2KJP3EKnAxUZ,wind,desk,ball,house,back,teacher,nail,basket,dog,ear
R_2CC8D2chTULgz7E,bouzouki,gas,rain,circus,book,pyramid,yacht,stick,computer,shack
R_1LNLaYKwkhEyqDK,people,theory,apple,ice cream,ring,medal,jar,glass,silk,clothing
