id,age,gender,country,multilingual,aut.originality.1,aut.originality.2,aut.originality,dat,problems.questions.1,problems.questions.2,problems.questions,problems.cra,problems.combined,word.1,word.2,word.3,word.4,word.5,word.6,word.7,word.8,word.9,word.10
R_OdMfsIAAB43D7PP,26,Male,Fiji,FALSE,NA,NA,NA,83.7582187815791,NA,NA,NA,0,NA,tyer,block,tin,leaver,idea,sleepers,shoe,gear,roof,kaleidoscope 
R_3CTrw42twmUzSOL,26,Female,Israel,TRUE,NA,NA,NA,84.3675815566842,NA,NA,NA,2,NA,Dinosaur,Tablecloth,Idea,Sand,Polygamy,Notice,Sadness,Atom,Funnel,Curve
R_Z33ZtRwlUuIYOZP,35,Male,Denmark,TRUE,NA,NA,NA,70.5205572857743,NA,NA,NA,0,NA,Water,Sun,shirt,car,vacuum,sand,life,thought,numbers,physics
R_2YnxjS3rNEjLmKS,35,Male,France,TRUE,NA,NA,NA,84.5696535704303,NA,NA,NA,2,NA,plate,tooth,submarine,schedule,rotisserie,broom,tube,ice,book,chili
R_2Ezb9S538oIIqte,35,Male,Yemen,TRUE,NA,NA,NA,78.5701499276218,NA,NA,NA,0,NA,House,Flower,Pencil,Anemone,Silk,Star,Dice,Pepper,Number,Air
R_2zbC6fFgAtse9ff,55,Female,Argentina,TRUE,NA,NA,NA,82.3800197492043,NA,NA,NA,0,NA,Woman,Snail,Pier,Moss,Road,Button,Pot,Air,Music,Dirt
R_u7KjPWhfOWKSg93,35,Male,Switzerland,TRUE,NA,NA,NA,79.5167382629145,NA,NA,NA,0,NA,paper,Moon,Road,horn,cow,panel,laptop,tea,SHOE,snake
R_3E9VtTNTxqSAlGk,35,Male,Fiji,TRUE,NA,NA,NA,77.4003772153741,NA,NA,NA,0,NA,paper,bolt,step,sponge,chair,wheels,rubbish,truck,pie,engine
R_3D7LSPWVi9riRm2,65,Male,Netherlands,TRUE,NA,NA,NA,89.9139475742621,NA,NA,NA,1,NA,zebra,string,fork,chair,spectrograph,ether,aether,soul,Uranus,mountain
R_3oHj18uYwY5Tl3K,55,Male,Austria,FALSE,NA,NA,NA,70.9506493948755,NA,NA,NA,1,NA,Chair,Fence,Wall,Fireplace,Shop,Fork,Shoe,Horse,Ocean,Pencil
R_2ALlPGyMifynlbk,26,Female,China,TRUE,NA,NA,NA,86.8878202324378,NA,NA,NA,2,NA,Dumplings,Travel,Space,Extinguishers ,Academics ,Ceiling,Pollution ,Family,Insignificance ,Alienation 
R_3NXoL7uR7ZRJbqi,70,Male,Czech Republic,TRUE,NA,NA,NA,86.5562431514263,NA,NA,NA,1,NA,horse,hammer,battery,love,sky,blowfly,puzzle,penis,bag,hell
R_1Ojbfq0cBqpLLxm,55,Male,Switzerland,TRUE,NA,NA,NA,78.7934637672845,NA,NA,NA,1,NA,smile,car,broccoli,fish,planet,sound,metal,sleep,night,oxygen
R_3e8Co9AGyb3D8nT,55,Female,Austria,FALSE,NA,NA,NA,75.0538325735501,NA,NA,NA,1,NA,Rug,Picture,Stick,Sweater ,Ball,Plant,Grape,Umbrella,Pig,Iron
R_1gFoZMytyGK5UdV,70,Male,Austria,FALSE,NA,NA,NA,72.5466704794339,NA,NA,NA,1,NA,car,horse,house,butter,tape,bed,window,bath,hallow,light
R_2qyYHX5QUEgHLjZ,70,Male,Poland,TRUE,NA,NA,NA,81.472945346364,NA,NA,NA,1,NA,car,sheep,work,highway,grass,skates,ruler,keyboard,globe,pole
R_3stqs6220i4uG7I,55,Female,Spain,TRUE,NA,NA,NA,72.6885377651169,NA,NA,NA,0,NA,water air stone cat tree  book tent black sun volcano,air,stone,cat,car,sun,black,volcano,tree,book
R_2VsV4bXuF5g5qrb,26,Male,Chile,TRUE,NA,NA,NA,76.6998223250821,NA,NA,NA,2,NA,Computer,Tree,Window,Car,Shoe,Guitar,Needle,Dog,Rifle,tray
R_3EnAGIHd6FFPc01,70,Female,Netherlands,TRUE,NA,NA,NA,87.271980080931,NA,NA,NA,2,NA,Shoes,Flowers,Pencil,Stapler,Radio,Horse,Singlet,Hair,Sky,Nose
R_WuHiJytrJJ90o9z,65,Male,Germany,TRUE,NA,NA,NA,70.6859300179141,NA,NA,NA,1,NA,coffee,chair,floor,sky,mountain,lake,song,painting,country,crime
R_5gmVRlHKG5R0yYx,55,Female,Uruguay,TRUE,NA,NA,NA,73.0151258054234,NA,NA,NA,0,NA,flower,car,house,dog,pencil,gun,sea,tree,ceiling,rough
R_2YmGDnyQeeNfrWV,55,Female,Malaysia,TRUE,NA,NA,NA,76.3093117447126,NA,NA,NA,1,NA,Paper ,Pillow,Tablet,Vase,Flowers ,Graphics,Food,Makeup,Toothbrush ,Mobile phone 
R_2YkT6dJmFETcbBj,35,Male,Germany,TRUE,NA,NA,NA,79.2195280548185,NA,NA,NA,1,NA,Weather,Job,Feeling,Helicopter ,Bed,Son,Cupboard,Country ,Eagle,Road
R_2WHacQ76URQelyN,26,Male,France,TRUE,NA,NA,NA,76.3866803830578,NA,NA,NA,1,NA,Paper,Chair,Nail,Glass,Sun,Summit,Car,Message,Camera,Sculpture
R_1JCRMn1ZkLQG2M3,65,Female,Switzerland,TRUE,NA,NA,NA,72.4006024854524,NA,NA,NA,0,NA,Dog,Apple,Flower,Car,Book,Smile,Eye,Fire,Head,Radio
R_12myfDERyo2IXUM,70,Female,Hungary,TRUE,NA,NA,NA,86.1671917794627,NA,NA,NA,1,NA,Music,Brick,Schnitzel,Petunia,Mountain,Meditation,Ocean,Walkway,Fashion,Yoga
R_1XF4Az7UCLdjwoV,26,Female,Philippines,FALSE,NA,NA,NA,82.9917622075993,NA,NA,NA,1,NA,Sun,Dog,Floor,Window,Cake,Book,Jump rope,Texter,Gyroscope,Thumb tack
R_vNBdKt9pJP2Tc5P,35,Male,Netherlands,TRUE,NA,NA,NA,76.7992047326905,NA,NA,NA,1,NA,Plank,Chair,Water,Planet,House,Car,Book,Surfboard,Laser,Dog
R_3lDGkcWBM5aP7hO,70,Male,Netherlands,TRUE,NA,NA,NA,72.2438765601033,NA,NA,NA,2,NA,concrete,button,elastic,sky,water,coat,sun,soap,wheel,wood
