Subject#,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10
1,paint,kangaroo,capitalism,aspirin,dictionary,law,flower,mercury,mountain,oxygen
2,cup,book,pen,foot,egg,tree,dog,computer,clock,ring
3,pig,girl,programmer,park,music,basketball,dress,sun,river,love
4,water,pencil,ipad,cloth,light,night,pink,spanish,music,tutorial
5,shoes,pencil,racquet,stove,bags,lamp,box,laptop,clock,flower
6,chair,chairperson,spokesperson,president,leader,head,convenor,spokeslady,emcee,speaker
7,Pillow,Concrete,Pencil,Fox,Computer,Glasses,Stomach,Tango,Bamboo,Tattoo
8,Chair,Homogenous,Spell,Liver,Pipeline,Tennis,Hue,Root,Treble,Pin
9,water,earth,computer,pepper,paper,Newton,snow,whiteboard,yogurt,box
10,blue,helicopter,mushroom,diamond,circle,iron,galaxy,language,hate,scallop
11,table,saxophone,potato,corgi,mirror,blanket,stiletto,toy,bidet,road
12,bowl,paper,parachute,jetski,wire,chemist,censorship,death,weight,flour
13,vegan,university,blanket,fireplace,coffin,newspaper,zoology,brain,olympics,gingerbread
14,balloon,shoe,magic,jazz,tissue,water,slapstick,central,fork,retainer
15,food,clothes,view,light,fur,box,seeds,knife,alcohol ,instrument
16,hat,desk,moon,brick,lemon,rabbit,paint,gas,needle,tissue
17,watermelon,philosophy,aglet,molecule,family,harlequin,rebuttal,cement,impostor,knuckle
18,CAT,BOOK,MUG,NAIL,BAG,MOTORBIKE,TRAMPOLINE,HEADPHONES,CANDLE,COMPUTER
19,bag,cube,phone,pillow,sugar,rubberband,cream,shorts,cake,perfume
20,Psychology,Log,Notebook,Tea,Painting,Headphones,Pillow,Luggage,Lava,Coconut
21,space,glasses,paper,animal,hat,humans,table,fire,cold,dead
22,Wine,Rose,Bicycle,Stalagmite,Toenail,Sourdough,Kohl,Aluminium,Hypnosis,Caffeine
23,stone,space,human,water,air,star,tree,animal,earth,fire
24,laptop,frog,galaxy,dictionary,salt,letterbox,banana,toenail,valley,hexagon
25,apple,bin,table,air,paper,hand,tree,metal,lamp,rubber
26,icecube,camel,parliament,bulldozer,plug,honey,thought,fence,lampshade,tree
27,Phone,Pizza,Mountain,Dog,Train,Book,Treadmil,Jumper,Guitar,Sunscreen
28,Computer,Desert,Fountain,King,Stalker,Painting,Plastic,Road,Triton,Platypus
29,ideas,things,thoughts,problems,dreams,goods,shops,books,reasons,tools
30,BOTTLE,LAPTOP,PAPER,FORK,RUBBER,WALLET,MIRROR,FINGER,CURTAIN,PIANO
31,dog,poop,planet,apple,lips,eclipse ,mug,superman,laptop,paino 
32,sadness,broom,toe nail,soil,shallow,nectarine ,shard ,moist,narwhal ,communism 
33,shoe,sun ,chair ,bird ,class ,party ,online ,pen ,cloud ,beach 
34,biscuit,car,biology,laptop,tablet,book,chairs,pen,bottle,water
35,Table,Skates,Keyboard,Needle,Water,Ball,Lotion,Titanium,Guitar,Lab
36,Table ,Doctor ,Fence,Laptop,Scarf,Cow ,Sleep ,Shoe ,Journal ,Eyes
37,Cat,Pizza,Phone,Duvet,Hinges,Blades,Water,Theory,Demand,Dark
38,Shoes,Pet,Equipment,Hip hop,Cup,Dinosaur ,Jewellery ,Depression,Development,Word
