id,text
1,giraffe ,face,shoe ,trees,TV,paw,ocean,car,banana,handle
2,cat,desk,theater,egg,pants,weather,hand,hem,uncle,flower
3,Rain,Tree,Laptop,Mug,Nail,Rabbit,Potato,Pants,Class,Curtain
4,fire,flower,pen,dress,plane,mountain,dog,law,camera,child
5,boat ,people ,insect ,coffee ,clothes ,bike ,television ,wood ,laptop ,hair 
6,flower ,dinner ,pen ,lipstick,dog ,color,macbook,apple,fan ,sunscreen 
7,ocean ,chair,head,flower,car,lamp,rock,money,work,gun
8,ethanol,mitosis,dress,candle,can,placemat,car,egg,laptop,card
9,map,queen,hat,steel,tea,lips,swimming pool,glasses,book,gap
10,box,computer,mooncake,cheese,poll,doll,fish,beauty,flower,cola
11,tree,typewriter,needle,suitcase,ball,card,nail,fan,cable,dragon
12,bin,branch,ball,crab,roof,rocket,ruler ,son,headphones,water
13,desk,train,house,sky,tree,minor,habit,shirt,tower,market
14,glass,wind,face,butterfly,street lamp,iron,sea shell,nail,cash,time
15,rabbit ,computer ,sweater ,nail,lung ,wax,desk,game ,mountain,surfboard 
16,dog,sex,psychology,computer,conflict,father,flower,parade,clown,firework
17,hat ,elephant ,doctor,cushion,test tube ,library,toy car,stomach,globe,deoderant
18,television,chair,pencil,skirt,mascara,calculator,door,certificate,pillow,tissue
19,bottle,earphone,pen,fruit,medicine,ocean,fire,perfume,strategy,caculator
20,purple,grave,keyboard,quantum ,stork,toe,climate,ghost,fried,diet
21,book,chicken,kettle,highway,bed,cousin,jumper,nailpolish,music,tissue
22,school,flag,sand,cat,nail polish,deodorant,fork,lock,travel,ambulance
23,man,girl,bottle,book,study,family,photo,baby,childhood,birthday
24,sun,cheese,adress,tree,glass,carbon,noise,mail,fail,water
25,photo ,air ,bottle,cord,basketball,door,umbrella,shapes,towel,pin 
26,red,tree,polar bear,car,dirt,drink bottle,bed,jacket,oven,bin
27,apple,road,pen,shorts,pillow,eyelid,gold,ocean,wall,music 
28,hair,miso,socks,light,pitbull,daisies,tennis,clock,basement,chainsaw
29,cat,sky,bag,mop,mirror,paper,scarf,laptop,wood,bell
30,teacher,murderer,guitar,deaf,mouse,garlic,fan,mall,hamburger,dead
31,bus,radio,kidney,rug,desk,paint,love,sunflowers,crown,constitution
32,keep,leave,fly,happened,always,flabbergasted,mysterious,bullied,disappointed,flour
33,magic,verb,phone,hair,lights,country,lead,smile,stick,blue
34,baby,hate,phone,apple,number,pen,empathy,cow,carpet ,polish
35,tissue,lighting,house,ghost,beer,grave,flower,doctor,court,white
36,love ,tissue,flowers ,cream ,light,salt ,dog ,book,jacket ,basketball 
37,computer,world,toad ,book ,ring ,plane ,house ,tree,slide,music 
38,coconut,dog,comb,mask,candies,watch,calculator,pencil,solar panel,seasoning
39,apple,apartment ,bones ,coffee,cat,bottle ,calculator,pool,gate,doctors
40,wind,desk,ball,house,back,teacher,nail,basket,dog,ear
41,bouzouki,gas,rain,circus,book,pyramid,yacht,stick,computer,shack
42,people,theory,apple,ice cream,ring,medal,jar,glass,silk,clothing
43,dice,blue,cat,cup,book ,mum,chair,school,apple,fake
44,Write,Chicken,Magic,Game,Language ,People,Father,Election ,Subject ,Hand
45,butterfly,bee,meaning,space,bet,orange,george,wee,yew,baby
46,house,flower,skirt,axe,cage,lemon,money,medicin,paper,detergent
47,water,triangle,book,nail,truck,shoelaces,carpet,onion,bracelet,underwear
48,Plane,Beach,Address,Love,Biscuit,Dog,iPad,Insecticide,Pillow,Cobblestone
49,car,universe,group,sad,bed,bin,relationship,outstanding,head,window
50,chair,pool,pencil,mouse,painting,glasses,iron,bag,chips,bridge
51,mailbox ,pot,bed,bridge,jacket,star,ocean,curtain,bag,elephant
52,wall,shoe ,floor,study,maid ,clown,tree,death,pants ,fingers 
53,food,place,idea,comfort,living,intelligence,beauty,travel,conversation,love
54,cow,jacket,wind,kissing,chair,pasta,rainbow,plane,curtain,vein
55,pen,noise,running,clouds,tape,comedy,crowds,flowers,absent,cans
56,white,animation,motivation,countryside,ice-cream,school,complex,vacation,dream,accordion
57,table,pool,ring,giraffe,knife,tack,mud,toddler,car,tv
58,Den,Wire,Lawyer,Black,Revolution,Darkness,Light ,Happiness,Strength,Thinking
59,people,chair,fish,lake,computer,history,France,shirt,moon,milk
60,place ,hand,food,emotions,run ,picture ,farm ,school,hair ,sport 
61,pen,cream,straw ,lamp,tree,clothes,brush,knife,window,cloth
62,cat ,blanket ,house,tree,car,bike,laptop,shoe,stage,phone 
63,pig,bottle,notebook,car,god,check,type,horror,needle,line
64,laptop,brownie,road,pimple,paper,psychology,brown,rubber,tree,marker
65,rabbit,math,TV,oscan,airport,friend,child,parent,game,bird
66,doll,homework,comics,maths,holiday,sea,roommate,pad,water,toilet
67,Pen,Ball,Street,Ear,Bird,Snow,Toothbrush,Food,Land,Electricity 
68,dragon,ice,plant ,highlighter ,student ,road,commet ,squid ,love ,stomach 
69,dog,flag,sun,purple,blush,keyboard,singing,hair,fabric,hotel
70,dandelion,cheesecake,odor,highlight,settings,spray,toolkit,book,tray,pants
71,cat,box,foot,gel,pen,mother,vacancy,light,water,rope
72,car,park,toy,cake,medical,study,Japan ,Arthur,figure,GP
73,cat ,book,clothes ,phone ,table ,bottle ,cake ,wind ,sound ,flower 
74,bowl,sky,licorice,pot,forest,alien,shin,scientologist,carbon monoxide,cuticle
75,door,school,car,water,biology,land,star,flag,donkey,music
76,shoe,cow,house,moon,dancer,phone,glasses,road,book,game
77,drought ,cortisol ,hyperbole ,rust,plants,earphone ,bottle ,ambition ,surgery ,NA
78,cat,house,pencil,ice,grass,wind,gravity,male,life,skin
79,apple,sun,blanket,statue,travel,university,toy,grandmother,time,purple
80,clock,countdown,gear,watch,late,measure,seconds,hours,wall,table
81,bull,calculator,candle ,dairy ,chip,cat,fridge ,table,drink bottle,t shirt 
82,cow,bottle,time,mum,barbie,love,graduation,beauty,sponges,power
83,sky,water,mud,bird,flower,human,sun,bee,cock,DNA
84,banana,eraser ,telephone ,metal ,cloud ,wristband ,fur ,hospital,cord,numbers
85,animals,Fruits,Vegetables,Human,Earth,Road,Plant,House,School,Politics
86,phone,bed,water,perfume,chips,shoes,tape,tampon,doll,pen
87,bottle,phone,table,map ,floor,hand,dog,hat,hoop,tree
88,cup ,pig,mountain,snot ,berries ,the queen,lingerie ,electric guitar ,karate ,baby
89,cat ,desk ,run, shirt ,'can''t ',greet ,sticker ,objection ,oblivious ,tree
90,snow,table,car,hills,sky,river,dust,doll,foam,crab
91,book,sky,lamp,water,fire,wood,shoes,cap,hand,laptop
92,mop,bag,rat,travel,alien,desk,cord,jump,cry,shoe
93,Toe,Parliament,Mars,Atom,Syringe,Text,Vent,Dualism,Swimming,Saxophone
94,table,sky,zoo,water,handphone,oreo,violin,finger,batman,blueberry
95,cat,book,beach,chair ,laptop,underwear,friend,blanket,toy,washing basket
96,rat,cauliflower,hamper,carpet,cancer,silicone,celebrate,holes, block,chew
97,family,work,book,cloud,friend,farmer,animal,river,tree,star
98,tissue,clothes,water,fire,music,egg,spoon,money,phone,mother
99,fire extinguisher ,bedroom,coffee,uniform ,ambulance,glasses,tiles,mud,vineyard,towel
100,himalayas ,mirror ,twitter ,dream,coriander ,doctor who ,tennis ,slime ,clown ,zeus 
101,moon,turtle,desk,singer,tea,dust,pool,pants,lipstick,beard
102,table,dog,chemistry,teaspoon,rain,mother,ring,grass,bag,car
103,plane,bread,Mother,wand,pig,leprechaun ,television,flute,nail,ghost
104,earphone,flower,thong,temple,socket,key,bubble,note,port,tap
105,desktop,shoe,cupholder,crochet hook,candlewax,sieve,pipe,lightbulb,fountain,nib
106,phone,mine,tissues,aliens,airplane,bombs,flags,ball,wolf,ocean
107,people,animal,hospital,school,car,phone,dress,hair,bed,window
108,shoe,bad,alcohol,swimming,study,parachute ,seafood,death,wedding,babies
109,website,bottle,trash,cake,light,table,phone,tissue,book,water
110,time,people,thing,day,life,women,way,road,books,child
111,car,tree,sky,oean,glasses,picture,chopsticks,cup,pen,speaker
112,lamp ,grass,brick ,throne,car,hammock,pet,geyser,tube,umbrella
113,helmet,pen,soup,scales,alarm ,death,book,australia,skipping ,fire
114,necklace,pot,lock,deck,gum,pencil,light,station,cheque,tree
115,cat,table,sofa,girl,bottle,building,school,blanket,basketball,nail
116,bicycle,music,colour,bag,crow,baby wipe,lamp,wiring,magnet,vents
117,cat,dog,education,race,invitation,comparison,ceiling,table,glass,grass
118,arrow,stand,plane,soup,mast,gold,book,football,grass,shadow
119,milk ,ocean ,salt ,speaker,box ,window ,sky ,wallet ,bag ,heater 
120,clothes,food,phone,rose,sun,wall,printer,paper,shoe,hand
121,magic,chopsticks,pot,computer,air,dumbbells,hair,bully,flood,keys
122,cat ,city ,iceberg ,robot ,video ,bottle ,glasses ,passport ,money ,sun 
123,thief,movie,milk,Italy,river,tram,home,artwork,underwear,bee
124,apple,guitar,ant,multiply,baptism,waste,paradigm,cleaver,enzyme,elevator
125,hammer ,snow ,window ,phone ,light ,speaker ,mirror ,cloth,clouds ,coffee 
126,Cake,Holocaust,Aliens,Syphillis,Frying pan,Transplant,Addict,Diarrhea,Toenail,Lats
127,bottle,finger,cloth,eye,beautiful,happy,house,book,mother,love
128,car,car,oars,bread,mountain,pencil,teddy bear,cash,guitar,lolly
129,cup,plant,animal,person ,plane,computer,park,vegetable ,vehicle ,window
130,School,grass,dungeon,drink,movie,street,bird,phone,window,Dinner
131,caterpillar ,fame,castle ,gum,crop top ,fog ,smile ,gold,vampire ,truth 
132,Technology,Country,Happiness,Time,Voltage,Iron,Captivate,Hair,Special,Rain
133,tile,phone,banana,highlighter,cloud,jewellery,lecture,dog,banquet,BBQ
134,lamp,dylan,book,giraffe,spider,pen,cloth,painting,toe,sticker
135,Table,Ocean,Star,Whistle ,Phone,Antenna ,Grass,Bus,Chalk,Curtain 
136,cup ,knife ,tree ,friend ,cigarette ,meat ,ship,star ,tiger,snow 
137,tree,building,sky,game,door,factory,chocolate,media,tram,coffee
138,table,family,girl,cat,wallet,fork,grace,tablet,charger,book
139,hat,tree,fig,paper,radio,stairs,door,number,thumb,road
140,justice,beauty,envy,appetite,idea,sorrow,luxury,right,generosity,nap
141,book,bag,plane,water,skin,dog,cloud,curtain,gun,mountain
