id,Subject#,aut_originality,ukwac,subtitle,baroni,glove,tasa,lse,dat,dsimean,text,age,gender,rt,aut_flexibility_1,aut_flexibilit_2,aut_flexibility,aut_originality_1,aut_originality_2,aut_originality,aut_fluency_1,aut_fluency_2,aut_fluency,bag_appropriateness_1,bag_appropriateness_2,bag_appropriateness,understood,strategy,valids,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10
R_YaGQavcwqIx8Ec9,1,1.4,0.9146375923,0.9457048927,0.9279811233,0.9517726684,1.0035599441,0.953,86.9377187941,0.9487312441,paint kangaroo capitalism aspirin dictionary law flower mercury mountain oxygen,22,Male,240.17,2.6,2.8,2.7,1.2,1.6,1.4,1.6,1.6,3.8,5.91428571428571,4.02857142857143,5.91428571428571,TRUE,FALSE,10,paint,kangaroo,capitalism,aspirin,dictionary,law,flower,mercury,mountain,oxygen
R_1ib2WS6c3oC7Yn2,2,0.7,0.837183083,0.9254002242,0.9117872294,0.83024662,0.9892673716,0.804,75.4166514391,0.8987769057,cup book pen foot egg tree dog computer clock ring,19,Female,73.077,3.2,3.4,3.3,0.6,0.8,0.7,7.6,7.6,7.6,4.66666666666667,2.19444444444444,4.66666666666667,FALSE,FALSE,10,cup,book,pen,foot,egg,tree,dog,computer,clock,ring
R_PLPzMyaGNx4OGg9,3,0.4,0.8158792792,0.9212576934,0.895240204,0.8428210433,0.9978485254,0.783,78.9925823504,0.8946093491,pig girl programmer park music basketball dress sun river love,18,Female,52.693,2.2,2.2,2.2,0.4,0.4,0.4,3.2,3.2,4,5.1,3.325,5.1,TRUE,FALSE,10,pig,girl,programmer,park,music,basketball,dress,sun,river,love
R_bORrxwjxVxUfp1n,4,0,0.863088069,0.9021067426,0.9074254255,0.8801616596,0.9942968978,0.851,71.2486897196,0.9094157589,water pencil ipad cloth light night pink spanish music tutorial,18,Female,131.879,2.6,2.6,2.6,0,0,0,4,4,4,4.87179487179487,2.84615384615385,4.87179487179487,TRUE,FALSE,8,water,pencil,ipad,cloth,light,night,pink,spanish,music,tutorial
R_RwVVJ0GFQ9Wi87v,5,0.1,0.8081794495,0.8772049638,0.8559730811,0.821897961,0.9471120039,0.647,75.6454748767,0.8620734919,shoes pencil racquet stove bags lamp box laptop clock flower,19,Female,111.464,1.6,2.6,2.1,0,0.2,0.1,3.2,3.2,3.2,5.28125,3.4375,5.28125,TRUE,FALSE,10,shoes,pencil,racquet,stove,bags,lamp,box,laptop,clock,flower
R_2e44X5Tu93G4Fno,6,1.1,0.8002230893,0.8282290673,0.7221483998,0.7864898358,0.9167808044,0.846,64.7797416541,0.8107742393,chair chairperson spokesperson president leader head convenor spokeslady emcee speaker,22,Female,240.198,3,4.2,3.6,0.6,1.6,1.1,7,7,7,5.825,3.725,5.825,FALSE,TRUE,9,chair,chairperson,spokesperson,president,leader,head,convenor,spokeslady,emcee,speaker
R_3fZuqdl4dGR9Itq,7,1.4,0.8660697758,0.9353684814,0.914798626,0.8930599236,1.0013451967,0.881,78.7573351392,0.9221284007,Pillow Concrete Pencil Fox Computer Glasses Stomach Tango Bamboo Tattoo,24,Female,54.533,3.6,3.8,3.7,0.6,2.2,1.4,1.6,1.6,6.8,5.23076923076923,2.94871794871795,5.23076923076923,TRUE,TRUE,10,Pillow,Concrete,Pencil,Fox,Computer,Glasses,Stomach,Tango,Bamboo,Tattoo
R_276Yoyb0ovmc6eQ,8,1,0.9393615104,0.9181053324,0.9631666109,0.9777987266,0.9966685894,0.945,91.610653337,0.9590201539,Chair Homogenous Spell Liver Pipeline Tennis Hue Root Treble Pin,19,Female,80.711,2.6,3.6,3.1,0.8,1.2,1,5.5,5.5,5.5,5.675,3.325,5.675,TRUE,FALSE,10,Chair,Homogenous,Spell,Liver,Pipeline,Tennis,Hue,Root,Treble,Pin
R_3m9ydtXQTR3xesk,9,0.7,0.8660959876,0.9117069642,0.8994521897,0.8882112163,0.9878167916,0.92,78.637960429,0.9106566299,water earth computer pepper paper Newton snow whiteboard yogurt box,19,Female,58.265,2.8,2.4,2.6,0.6,0.8,0.7,3.4,3.4,3.6,4.52631578947368,2.07894736842105,4.52631578947368,TRUE,FALSE,10,water,earth,computer,pepper,paper,Newton,snow,whiteboard,yogurt,box
R_9FYnnfnczUtuNB7,10,0.1,0.8722948875,0.9270906492,0.9255171057,0.9203148785,1.0075765084,0.879,74.9003776127,0.9305588059,blue helicopter mushroom diamond circle iron galaxy language hate scallop,18,Male,240.006,2.2,2.6,2.4,0,0.2,0.1,1,1,5.2,5.53846153846154,3.84615384615385,5.53846153846154,TRUE,FALSE,10,blue,helicopter,mushroom,diamond,circle,iron,galaxy,language,hate,scallop
