id,age,gender,country,multilingual,aut.originality.1,aut.originality.2,aut.originality,dat,problems.questions.1,problems.questions.2,problems.questions,problems.cra,problems.combined,word.1,word.2,word.3,word.4,word.5,word.6,word.7,word.8,word.9,word.10
R_OCfAxZo5M0SxNMB,35,Female,Australia,TRUE,NA,NA,NA,83.0306999740146,NA,NA,NA,1,NA,copper,insect,volcano,trolley,goblet,dog,traffic light,earring,tomb,planet
R_1ir4JlMoEeQzoVo,35,Male,Australia,FALSE,NA,NA,NA,80.9031283039422,NA,NA,NA,2,NA,apple,brick,water,air,star,leg,spanner,typewriter,wall,whale
R_2ahjZT3xEElN5Da,35,Male,Australia,FALSE,NA,NA,NA,73.69620572953,NA,NA,NA,2,NA,ball,nail,rose,stone,sea,fly,relax,sweat,hunger,scorpion
R_bEHztu6LDU2uL0R,35,Female,Australia,FALSE,0.5,0.5,0.5,75.0832128915049,0,1,0,1,1,sponge,elephant,balloon,sandpaper,orange,air,hair,sandal,tablecloth,freckle
R_2DY8MoeVszo6jKO,35,Male,Australia,FALSE,NA,NA,NA,78.3447335873331,NA,NA,NA,0,NA,Car,Tree,umbrella,fire hydrant,Steel Beam,Unicorn,Rock,Water,Chips,Person
R_1DXYVQbCAVKd82u,55,Male,Australia,FALSE,NA,NA,NA,78.989007368329,NA,NA,NA,2,NA,horse,paper,flower,spanner,computer,pen,car,bike,light,nose
R_3F4huoEdiULkgUH,35,Male,Australia,FALSE,0.5,0,0.25,78.9673868744146,2,2,2,2,4,Tree,Car,Iceberg,Pilot,Sound,Planet,Elephant,Hat,Slide,Love
R_1f2uWg5Y98ikSzx,55,Male,Australia,TRUE,NA,NA,NA,75.9989574906372,NA,NA,NA,1,NA,light,round,rough,slippery,crinkled,greased,scales,hook,bed,food
R_PCyUCX2tTKDJTRD,35,Male,Australia,TRUE,NA,NA,NA,86.2380641113434,NA,NA,NA,1,NA,flower,donkey,magnifier,apple,rock,cloud,toupee,fan,dirt,sunscreen
R_3JgbhfVu6zQgq37,18,Female,Australia,FALSE,NA,NA,NA,67.228448107129,NA,NA,NA,1,NA,show,town,show,head,time,table,phone,house,country,ant hill
R_DCa54ivl0WALgl3,35,Female,Australia,FALSE,NA,NA,NA,79.4774682571491,NA,NA,NA,0,NA,rose,water,rake,hose,boat,diamond,tablet,cord,coffee,lace
R_3FUOc2nN3NdPuO5,55,Male,Australia,FALSE,0.5,0,0.25,69.7281073246683,0,0,0,1,1,tree,car,rock,lake,fish,frige,broom,house,fig,rope
R_1gcFCyOUCFwS5m2,70,Male,Australia,FALSE,NA,NA,NA,83.7777085934899,NA,NA,NA,1,NA,spider,parachute,soil,circle,book,tile,hail,post,letter,scrub
R_3LXab4NjOUC4Yfv,35,Female,Australia,FALSE,NA,NA,NA,88.254840813932,NA,NA,NA,0,NA,Shoe,Quasar,Oil filter,Jellybean,Sand,Custard,Hammer,Radio,Knife,Spiderweb 
